"Suburb","Total_Number","BYO_Only","Ordinary_Trading_Hours","Gambling_Allowed"
"ELWOOD",62,3,31,1
"EMERALD",17,0,9,0
"ENDEAVOUR HILLS",23,3,7,0
"ENFIELD",1,0,1,0
"ENSAY",3,0,1,0
"EPPALOCK",3,0,0,0
"EPPING",73,2,33,4
"EPSOM",6,0,4,0
"ERICA",3,0,2,0
"ESKDALE",4,0,1,0
"ESSENDON",77,1,40,4
"ESSENDON AIRPORT",1,0,1,0
"ESSENDON FIELDS",7,0,4,0
"ESSENDON NORTH",8,0,3,1
"EUMEMMERRING",2,0,2,0
"EUROA",22,0,8,0
"EUROBIN",3,0,1,0
"EVERSLEY",1,0,0,0
"EVERTON",1,0,1,0
"EVERTON UPPER",7,0,0,0
"EYNESBURY",3,0,1,0
"FAIRFIELD",46,3,21,0
"FAIRHAVEN",1,0,0,0
"FALLS CREEK",49,15,20,0
"FARADAY",3,0,0,0
"FAWKNER",22,1,7,2
"FERGUSON",1,0,0,0
"FERNDALE",1,0,0,0
"FERNTREE GULLY",56,5,23,4
"FERNTREE GULLY UPPER",1,0,0,0
"FERNY CREEK",2,0,2,0
"FINGAL",13,0,2,0
"FISH CREEK",10,0,1,0
"FISHERMANS BEND",2,0,1,0
"FITZROY",256,4,83,1
"FITZROY NORTH",64,2,30,0
"FIVE WAYS",1,0,1,0
"FLEMINGTON",31,5,13,1
"FLINDERS",17,2,7,0
"FLOWERDALE",4,0,0,0
"FLYNN",1,1,0,0
"FOOTSCRAY",139,9,69,3
"FOOTSCRAY SOUTH",1,0,1,0
"FOOTSCRAY WEST",18,0,12,0
"FOREST HILL",34,3,20,1
"FORREST",6,0,4,0
"FOSTER",15,0,5,1
"FOSTER NORTH",1,0,0,0
"FOUNTAIN GATE",4,0,2,0
"FRAMLINGHAM",1,0,0,0
"FRANKLINFORD",1,0,0,0
"FRANKSTON",134,7,59,4
"FRANKSTON EAST",1,1,0,0
"FRANKSTON NORTH",7,1,2,0
"FRANKSTON SOUTH",9,1,3,0
"FRASER RISE",3,0,1,0
"FRENCH ISLAND",1,0,0,0
"FRENCHMANS",1,0,0,0
"FRESHWATER CREEK",1,0,1,0
"FYANSFORD",4,0,1,0
"GANNAWARRA",1,0,0,0
"GAPSTED",3,0,1,0
"GARDEN CITY",1,0,1,0
"GARDENVALE",1,1,0,0
"GARFIELD",5,0,1,0
"GEELONG",211,7,77,3
"GEELONG EAST",4,0,1,0
"GEELONG NORTH",20,0,7,3
"GEELONG SOUTH",5,0,2,0
"GEELONG WEST",55,3,36,1
"GELANTIPY",1,0,0,0
"GELLIBRAND",5,1,2,0
"GELLIBRAND RIVER",1,0,1,0
"GEMBROOK",16,1,4,0
"GENOA",1,0,1,0
"GILLEAR",1,0,0,0
"GIPSY POINT",2,0,2,0
"GIRGARRE",2,0,0,0
"GISBORNE",36,2,16,1
"GLADSTONE PARK",8,1,4,0
"GLADYSDALE",2,0,0,0
"GLEN AIRE",1,0,0,0
"GLEN ALVIE",2,0,0,0
"GLEN FORBES",3,0,1,0
"GLEN HUNTLY",7,1,3,0
"GLEN IRIS",55,5,25,0
"GLEN WAVERLEY",135,5,59,4
"GLEN WAVERLEY NORTH",1,0,1,0
"GLEN WILLS",1,0,0,0
"GLENAIRE",1,0,1,0
"GLENBURN",2,0,0,0
"GLENFERRIE",1,0,0,0
"GLENGARRY",6,1,2,0
"GLENHOPE",1,0,0,0
"GLENHUNTLY",9,3,6,0
"GLENLYON",4,0,1,0
"GLENORCHY",1,0,0,0
"GLENROWAN",7,0,2,0
"GLENROY",26,1,9,1
"GOLDEN BEACH",4,0,2,0
"GOLDEN GULLY",1,0,1,0
"GOLDEN POINT",4,0,3,0
"GOLDEN SQUARE",8,0,2,0
"GOORAMADDA",2,0,0,0
"GOORAMBAT",2,0,0,0
"GOORNONG",3,0,2,0
"GORDON",5,0,2,0
"GORMANDALE",2,0,1,0
"GOROKE",4,0,1,0
"GOUGHS BAY",2,0,1,0
"GOUGHS BAY (VIA MANSFIELD",1,0,1,0
"GOWANBRAE",3,1,0,0
"GRAHAMVALE",2,0,1,0
"GRANTVILLE",4,0,3,0
"GRANYA",2,0,2,0
"GRAYTOWN",2,0,0,0
"GREAT WESTERN",9,0,2,0
"GREEN LAKE",1,0,0,0
"GREENDALE",1,0,0,0
"GREENSBOROUGH",51,6,25,2
"GREENVALE",7,1,1,0
"GRETA",2,0,0,0
"GREYTHORN",1,0,1,0
"GROVEDALE",29,1,13,1
"GRUYERE",13,0,1,0
"GRUYERE VIA COLDSTREAM",3,0,0,0
"GUILDFORD",5,0,1,0
"GUNBOWER",5,0,0,0
"GUNDOWRING",1,0,0,0
"GUYS HILL",1,0,0,0
"HADDON",2,1,1,0
"HADFIELD",5,1,3,0
"HALLAM",15,1,7,1
"HALLORA",1,0,0,0
"HALLS GAP",29,1,14,0
"HAMILTON",59,5,14,2
"HAMLYN HEIGHTS",3,0,2,0
"HAMPTON",69,4,35,1
"HAMPTON EAST",6,0,2,0
"HAMPTON PARK",23,2,10,1
"HANGING ROCK",1,0,1,0
"HARCOURT",12,0,3,0
"HARCOURT NORTH",1,0,0,0
"HARCOURT SOUTH",1,0,0,0
"HARRIETVILLE",5,0,3,0
"HARRISFIELD",1,0,1,0
"HARROW",5,0,1,0
"HASTINGS",35,2,20,3
"HATTAH",1,0,1,0
"HAWKESDALE",1,0,0,0
"HAWKSBURN",2,0,2,0
"HAWTHORN",162,7,96,1
"HAWTHORN EAST",57,1,24,1
"HEALESVILLE",88,2,29,2
"HEATHCOTE",45,0,10,0
"HEATHERTON",13,0,3,0
"HEATHMERE",1,0,0,0
"HEATHMONT",20,2,10,0
"HEIDELBERG",34,1,21,2
"HEIDELBERG HEIGHTS",10,1,6,0
"HEIDELBERG WEST",15,1,8,1
"HEPBURN",3,0,0,0
"HEPBURN SPRINGS",24,0,9,0
"HERNE HILL",7,0,2,0
"HESKET",2,0,0,0
"HEYFIELD",10,1,2,0
"HEYWOOD",9,0,2,0
"HIGHETT",41,2,19,1
"HIGHTON",27,1,15,0
"HILLSIDE",12,1,7,1
"HODDLES CREEK",2,0,0,0
"HOPETOUN",5,0,1,0
"HOPPERS CROSSING",56,3,32,3
"HORDERN VALE",1,0,1,0
"HORSHAM",73,3,19,3
"HOTHAM HEIGHTS",12,6,2,0
"HOWQUA",1,0,1,0
"HUGHESDALE",8,0,3,0
"HUMEVALE",1,0,0,0
"HUNTINGDALE",11,1,5,0
"HUNTLY",8,0,2,0
"HURSTBRIDGE",16,0,9,0
"INDENTED HEAD",2,0,1,0
"INDIGO VALLEY",2,0,0,0
"INGLEWOOD",7,0,1,0
"INVERGORDON",1,0,1,0
"INVERLEIGH",6,0,1,0
"INVERLOCH",29,2,11,0
"INVERMAY",3,0,0,0
"IONA",1,0,0,0
"IRAAK",1,0,0,0
"IRONBARK",1,0,0,0
"IRREWARRA",1,0,0,0
"IRREWILLIPE",1,0,0,0
