"Category","Trading Hours","Maximum Capacity","Suburb","Postcode","Latitude","Longitude","Region","Gaming"
"BYO Permit","Unspecified","Unspecified","MOUNT BULLER","3723","-37.14636430","146.45146890","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","WATTLE GLEN","3096","-37.66794000","145.18499100","Metro North","Not allowed"
"BYO Permit","Unspecified","Unspecified","MOUNT BULLER","3723","-37.14586190","146.45411250","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","MOUNT BULLER","3723","-37.14761674","146.44579460","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","MOUNT BULLER","3723","-37.14597200","146.44595000","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","MOUNT BULLER","3723","-37.14763400","146.45436310","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","MOUNT BULLER","3723","-37.14636430","146.45146890","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","YALLAMBIE","3085","-37.72660100","145.10561600","Metro North","Not allowed"
"BYO Permit","Unspecified","Unspecified","MOUNT BULLER","3723","-37.14728894","146.44767570","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","MOUNT BULLER","3723","-37.14769350","146.45465880","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","MOUNT BULLER","3723","-37.14769350","146.45465880","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","MOUNT BULLER","3723","-37.14588110","146.45206630","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","MOUNT BULLER","3723","-37.14823700","146.44538800","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","GREENSBOROUGH","3088","-37.69625035","145.10708330","Metro North","Not allowed"
"BYO Permit","Unspecified","Unspecified","MOUNT BULLER","3723","-37.14726300","146.45232100","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","MOUNT BULLER","3723","-37.14660110","146.45063590","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","MONTMORENCY","3094","-37.71475800","145.11254700","Metro North","Not allowed"
"BYO Permit","Unspecified","Unspecified","MOUNT BULLER","3723","-37.14568100","146.45491200","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","MOUNT BULLER","3723","-37.26840448","146.12646870","Hume","Not allowed"
"BYO Permit","Unspecified","Unspecified","BRUNSWICK","3056","-37.76556308","144.95124020","Metro North","Not allowed"
"BYO Permit","Unspecified","Unspecified","FALLS CREEK","3699","-36.86525420","147.27910100","Hume","Not allowed"
